"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201312";"08020623";"08";"02";"06";"23";"2";135,00;72,00;63,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;6,00;0,00;0,00;9,00;7,00;3,00;0,00;3,00;3,00;21,00;24,00;12,00;6,00;13,00;3,00;0,00;3,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;9,00;10,00;69,00;16,00;16,00;0,00
"201312";"08020624";"08";"02";"06";"24";"2";119,00;62,00;57,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;4,00;3,00;9,00;0,00;16,00;18,00;6,00;6,00;6,00;3,00;6,00;10,00;7,00;3,00;0,00;4,00;0,00;0,00;0,00;3,00;3,00;0,00;6,00;10,00;58,00;15,00;20,00;4,00
"201312";"08020625";"08";"02";"06";"25";"2";413,00;231,00;182,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;7,00;6,00;3,00;0,00;3,00;0,00;28,00;24,00;23,00;53,00;48,00;51,00;55,00;29,00;18,00;15,00;3,00;16,00;0,00;9,00;16,00;0,00;0,00;0,00;0,00;3,00;3,00;16,00;3,00;28,00;283,00;36,00;41,00;0,00
"201312";"08020726";"08";"02";"07";"26";"2";661,00;320,00;341,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;6,00;27,00;9,00;37,00;16,00;46,00;76,00;76,00;68,00;81,00;54,00;49,00;21,00;28,00;0,00;10,00;25,00;11,00;6,00;3,00;0,00;0,00;3,00;0,00;15,00;27,00;46,00;417,00;98,00;46,00;9,00
"201312";"08020727";"08";"02";"07";"27";"2";855,00;423,00;432,00;6,00;0,00;0,00;13,00;9,00;0,00;3,00;3,00;18,00;12,00;6,00;19,00;29,00;50,00;29,00;36,00;96,00;95,00;91,00;89,00;65,00;54,00;18,00;12,00;24,00;17,00;34,00;14,00;6,00;3,00;0,00;4,00;6,00;22,00;42,00;19,00;79,00;501,00;84,00;89,00;13,00
"201312";"08020728";"08";"02";"07";"28";"2";1216,00;635,00;581,00;0,00;3,00;7,00;15,00;9,00;9,00;6,00;9,00;13,00;12,00;12,00;43,00;52,00;87,00;72,00;79,00;153,00;144,00;145,00;87,00;42,00;69,00;24,00;3,00;18,00;32,00;27,00;19,00;15,00;6,00;4,00;0,00;0,00;34,00;61,00;43,00;139,00;722,00;96,00;96,00;25,00
"201312";"08030829";"08";"03";"08";"29";"2";2154,00;1063,00;1091,00;10,00;19,00;13,00;23,00;23,00;9,00;12,00;19,00;32,00;26,00;17,00;68,00;54,00;103,00;60,00;104,00;240,00;254,00;227,00;211,00;181,00;122,00;76,00;33,00;35,00;34,00;74,00;42,00;18,00;15,00;0,00;0,00;10,00;78,00;115,00;68,00;157,00;1277,00;231,00;185,00;33,00
"201312";"08030830";"08";"03";"08";"30";"2";959,00;453,00;506,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;9,00;3,00;3,00;27,00;15,00;56,00;58,00;55,00;119,00;89,00;109,00;109,00;54,00;70,00;30,00;15,00;26,00;24,00;51,00;10,00;9,00;0,00;0,00;3,00;3,00;9,00;18,00;27,00;71,00;593,00;115,00;111,00;12,00
"201312";"08030831";"08";"03";"08";"31";"2";2877,00;1400,00;1477,00;6,00;3,00;6,00;15,00;17,00;6,00;10,00;19,00;21,00;25,00;37,00;89,00;105,00;171,00;94,00;160,00;275,00;335,00;327,00;291,00;229,00;160,00;71,00;65,00;58,00;81,00;81,00;60,00;33,00;16,00;3,00;8,00;6,00;41,00;118,00;89,00;276,00;1711,00;296,00;280,00;60,00
"201312";"08040932";"08";"04";"09";"32";"2";245,00;105,00;140,00;3,00;0,00;0,00;3,00;0,00;4,00;3,00;10,00;0,00;0,00;3,00;0,00;3,00;21,00;6,00;19,00;27,00;37,00;31,00;18,00;9,00;9,00;3,00;7,00;7,00;7,00;6,00;6,00;0,00;0,00;3,00;0,00;3,00;3,00;20,00;0,00;24,00;147,00;19,00;26,00;3,00
"201312";"08040933";"08";"04";"09";"33";"2";406,00;200,00;206,00;3,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;23,00;19,00;22,00;20,00;40,00;50,00;58,00;29,00;36,00;25,00;12,00;7,00;9,00;9,00;13,00;10,00;7,00;0,00;0,00;0,00;3,00;7,00;0,00;7,00;42,00;255,00;44,00;41,00;7,00
"201312";"08040934";"08";"04";"09";"34";"2";239,00;111,00;128,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;6,00;0,00;12,00;16,00;20,00;13,00;6,00;15,00;13,00;31,00;30,00;24,00;12,00;9,00;3,00;3,00;0,00;3,00;11,00;3,00;0,00;0,00;0,00;3,00;0,00;12,00;12,00;36,00;132,00;24,00;17,00;3,00
"201312";"08041035";"08";"04";"10";"35";"2";705,00;333,00;372,00;3,00;3,00;3,00;7,00;3,00;0,00;4,00;3,00;9,00;15,00;9,00;9,00;22,00;42,00;32,00;35,00;81,00;58,00;77,00;58,00;69,00;37,00;18,00;12,00;16,00;12,00;43,00;15,00;7,00;0,00;3,00;0,00;3,00;16,00;40,00;9,00;64,00;410,00;67,00;86,00;10,00
"201312";"08041036";"08";"04";"10";"36";"2";513,00;273,00;240,00;0,00;3,00;3,00;3,00;3,00;0,00;4,00;3,00;0,00;0,00;9,00;16,00;15,00;9,00;12,00;38,00;47,00;69,00;40,00;74,00;44,00;19,00;20,00;10,00;19,00;13,00;12,00;16,00;9,00;0,00;0,00;3,00;0,00;12,00;16,00;16,00;24,00;324,00;49,00;60,00;12,00
"201312";"08041037";"08";"04";"10";"37";"2";717,00;353,00;364,00;3,00;8,00;6,00;9,00;0,00;3,00;13,00;13,00;10,00;4,00;3,00;24,00;25,00;51,00;36,00;37,00;72,00;103,00;54,00;55,00;30,00;49,00;22,00;12,00;6,00;27,00;9,00;21,00;9,00;0,00;0,00;3,00;3,00;23,00;46,00;24,00;76,00;387,00;83,00;63,00;12,00
"201312";"08041038";"08";"04";"10";"38";"2";390,00;208,00;182,00;4,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;7,00;6,00;0,00;6,00;19,00;19,00;10,00;6,00;32,00;40,00;37,00;42,00;37,00;25,00;15,00;12,00;12,00;15,00;25,00;6,00;3,00;6,00;0,00;0,00;4,00;6,00;13,00;6,00;38,00;204,00;52,00;58,00;9,00
"201312";"08041039";"08";"04";"10";"39";"2";368,00;163,00;205,00;0,00;0,00;0,00;3,00;7,00;7,00;6,00;6,00;3,00;9,00;0,00;9,00;3,00;25,00;3,00;9,00;48,00;52,00;70,00;24,00;13,00;22,00;13,00;6,00;3,00;9,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;10,00;31,00;9,00;28,00;219,00;41,00;30,00;0,00
"201312";"08041040";"08";"04";"10";"40";"2";514,00;229,00;285,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;3,00;6,00;6,00;21,00;12,00;19,00;20,00;9,00;53,00;52,00;69,00;60,00;28,00;27,00;31,00;6,00;18,00;9,00;12,00;18,00;13,00;4,00;7,00;0,00;0,00;4,00;22,00;21,00;31,00;291,00;64,00;57,00;24,00
