ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200712;05020420;05;02;04;20;2;29;13;16;0;0;0;0;0;0;0;3;0;3;0;0;0;0;3;0;7;7;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;23;0;0;0
200712;05020521;05;02;05;21;2;143;70;73;0;0;0;0;0;0;0;15;3;6;0;6;3;0;6;0;21;19;12;12;21;3;3;0;3;0;0;7;3;0;0;0;0;0;24;6;3;91;6;10;3
200712;05020522;05;02;05;22;2;571;250;321;0;3;3;9;0;0;3;10;23;12;15;12;16;37;15;30;62;49;74;43;31;42;13;9;6;15;18;9;6;6;0;0;0;15;63;12;53;304;64;48;12
200712;05020523;05;02;05;23;2;1563;768;795;3;0;12;15;16;6;12;39;43;55;18;62;61;67;55;95;196;201;142;106;81;86;51;24;24;30;27;15;18;0;0;3;3;43;173;62;128;876;161;96;21
200712;05020524;05;02;05;24;2;267;137;130;0;0;3;3;6;0;3;9;6;3;0;6;7;6;3;12;16;30;23;28;18;33;13;5;3;13;12;6;0;0;0;0;0;12;21;6;13;130;51;34;0
200712;05020625;05;02;06;25;2;720;381;339;6;3;0;3;0;0;12;9;19;9;3;18;18;40;33;46;91;69;77;51;58;49;27;16;21;12;15;15;0;0;0;0;6;6;52;18;58;425;92;63;0
200712;05020626;05;02;06;26;2;1904;978;926;10;7;0;0;9;3;9;22;30;40;7;62;64;103;79;111;235;193;160;151;135;174;67;40;38;53;72;14;16;0;0;0;10;16;111;62;167;1064;281;177;16
200712;05020627;05;02;06;27;2;396;191;205;6;0;0;0;0;3;0;12;6;6;3;18;3;15;24;27;33;69;49;31;25;19;3;6;9;7;9;7;3;3;0;0;6;0;30;18;18;258;28;32;6
200712;05020628;05;02;06;28;2;155;75;80;0;0;0;0;0;3;0;0;4;10;6;6;6;6;0;9;13;16;25;10;3;6;7;3;4;0;9;3;6;0;0;0;0;0;23;6;12;76;16;16;6
200712;05020629;05;02;06;29;2;221;106;115;0;3;3;3;0;3;0;0;0;6;3;0;7;0;3;3;13;28;27;30;17;18;18;9;6;9;9;3;0;0;0;0;0;9;12;0;7;121;45;27;0
