ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
201012;11041128;11;04;11;28;2;3664;1761;1903;55;69;60;140;68;64;63;118;108;100;36;131;134;313;183;272;348;250;223;159;191;135;55;24;50;72;98;68;47;15;9;6;55;337;489;131;447;1626;214;288;77
201012;11051229;11;05;12;29;2;341;160;181;9;16;12;10;12;6;3;7;6;6;0;12;9;22;6;21;42;40;30;15;21;9;6;3;3;3;3;3;3;3;0;0;9;50;28;12;31;175;18;12;6
201012;11051330;11;05;13;30;2;882;459;423;3;3;6;18;6;6;12;18;9;9;7;10;55;184;89;101;85;69;36;34;40;18;3;3;12;6;22;6;6;3;3;0;3;33;61;10;239;454;24;46;12
201012;11051331;11;05;13;31;2;580;263;317;6;6;19;33;24;9;12;18;27;12;3;40;19;24;13;30;35;61;38;51;31;12;12;0;3;4;14;10;11;0;0;3;6;82;81;40;43;259;24;31;14
201012;11051332;11;05;13;32;2;401;195;206;12;12;3;21;3;12;12;19;16;21;12;10;3;9;13;7;24;44;43;30;12;19;6;3;7;13;6;3;3;3;0;0;12;39;92;10;12;173;28;29;6
201012;12103115;12;10;31;15;2;2314;1185;1129;40;54;42;66;31;30;22;45;62;74;10;80;57;124;68;165;223;243;164;153;134;130;69;43;31;30;74;31;12;7;0;0;40;193;243;80;181;1150;242;166;19
201012;12103116;12;10;31;16;2;3016;1570;1446;56;42;74;125;41;56;70;96;91;77;28;142;94;174;76;165;297;297;250;191;151;120;83;57;40;36;38;31;12;6;0;0;56;282;418;142;268;1427;260;145;18
201012;12103117;12;10;31;17;2;3492;1787;1705;58;50;87;148;79;43;45;129;69;98;60;141;147;200;94;140;349;328;268;227;210;177;116;51;30;51;54;27;13;3;0;0;58;364;444;141;347;1616;344;162;16
201012;12103218;12;10;32;18;2;4018;2037;1981;68;69;64;132;56;51;75;127;143;107;60;165;157;188;111;228;378;335;362;279;220;182;113;55;58;49;113;33;6;22;9;3;68;321;563;165;345;1913;350;253;40
201012;12103219;12;10;32;19;2;2372;1186;1186;40;45;34;78;24;37;31;59;53;73;44;79;60;162;106;116;236;164;192;185;133;117;71;37;41;47;71;31;6;0;0;0;40;181;297;79;222;1132;225;190;6
